"","School","ID","CoNo","StNo","Low","High","Students"
"276","ST BENEDICT SCHOOL","00000634","3","01",-1,8,174
"277","ST BERNARD PREPARATORY SCHOOL","02113067","43","01",7,12,161
"278","ST COLUMBA CATHOLIC SCHOOL","BB120001","69","01",-1,0,37
"279","ST DOMINIC SCHOOL","00000543","97","01",-1,8,504
"280","ST FRANCIS XAVIER SCHOOL","00000179","73","01",0,8,210
"281","ST IGNATIUS CATHOLIC SCHOOL","00000532","97","01",-1,8,531
"282","ST JAMES CATHOLIC SCHOOL","00000033","55","01",-1,8,113
"283","ST JAMES SCHOOL","00001547","101","01",-1,12,977
"284","ST JOHN THE BAPTIST CATHOLIC S","A9900071","89","01",-1,8,469
"285","ST JOHNS DELIVERENCE SCHOOL OF","A0700023","97","01",-1,1,30
"286","ST JOSEPH CATHOLIC SCHOOL","00000372","87","01",-1,8,62
"287","ST JOSEPH REGIONAL CATHOLIC SC","00000102","77","01",-1,8,189
"288","ST JUDE EDUCATIONAL INSTITUTE","00000394","101","01",7,12,114
"289","ST LUKE S EPISCOPAL SCHOOL","A9100150","97","01",-1,11,687
"290","ST MARK UNITED METHODIST KINDE","A9703774","73","01",-1,0,111
"291","ST MARY CATHOLIC SCHOOL","00000496","97","01",-1,8,504
"292","ST MARYS CATHOLIC SCHOOL","00000113","73","01",-1,3,83
"293","ST PATRICK SCHOOL","01604001","3","01",-1,8,211
"294","ST PATRICK'S SCHOOL","A0100378","113","01",-1,8,75
"295","ST PAUL'S EPISCOPAL SCHOOL","00000758","97","01",-1,12,1339
"296","ST PAULS LUTHERAN SCHOOL","00001208","43","01",-1,6,88
"297","ST PIUS X SCHOOL","00000474","97","01",-1,8,355
"298","ST ROSE OF LIMA SCHOOL","00000146","73","01",-1,8,186
"299","ST VINCENT DEPAUL SCHOOL","00000703","97","01",-1,8,168
"300","STANFORD CHRISTIAN ACADEMY","A0792002","97","01",1,12,58
"301","SUCCESS UNLIMITED","A0900077","101","01",-1,12,192
"302","SUMITON CHRISTIAN SCHOOL","A9300011","127","01",-1,12,447
"303","SURE WORD TEMPLE OF GOD","A0770180","97","01",-1,0,36
"304","SUSANNA WESLEY EARLY EDUCATION","A0700024","89","01",-1,0,181
"305","TABERNACLE CHRISTIAN SCHOOL","02000643","73","01",-1,12,390
"306","TABERNACLE OF PRAISE CHRISTIAN","A1100014","47","01",-1,8,45
"307","TEEN UNIVERSITY","A1100016","113","01",8,12,10
"308","TEMPLE CHRISTIAN ACADEMY","A0300043","53","01",-1,10,47
"309","TEMPLE CHRISTIAN ACADEMY","A0900079","83","01",4,12,7
"310","TEMPLE CHRISTIAN SCHOOL","02000279","17","01",0,9,36
"311","THE ALTAMONT SCHOOL","00001616","73","01",5,12,314
"312","THE CAPITOL SCHOOL","A9500031","125","01",-1,12,139
"313","THE CHILDRENS HOUSE OF MONTESS","A0100077","89","01",0,0,8
"314","THE COUNTRY DAY SCHOOL","A9100122","89","01",-1,8,103
"315","THE DONOHO SCHOOL","00001332","15","01",-1,12,376
"316","THE LAKESIDE SCHOOL","00002096","5","01",-1,12,268
"317","THE LEARNING TREE","A9700020","97","01",-1,12,119
"318","THE LEARNING TREE","A9302026","15","01",-2,-2,35
"319","THE MONTESSORI SCHOOL OF HUNTS","A0307029","89","01",-1,6,91
"320","THE PERFECT PLACE CC LEARNING ","A1170203","73","01",-1,0,30
"321","THE PINNACLE SCHOOL","A0900063","89","01",7,12,30
"322","THE RILEY BEHAVIORAL AND EDUCA","A1100017","89","01",0,6,19
"323","THIS OLDE HOUSE II","A9703777","125","01",-1,0,22
"324","THREE SPRINGS SCHOOL OF MADISO","A0700028","89","01",6,12,59
"325","TRINITY CHRISTIAN ACADEMY","00002507","15","01",-1,12,84
"326","TRINITY LUTHERAN ELEMENTARY SC","02000905","97","01",-1,7,104
"327","TRINITY PRESBYTERIAN SCHOOL","00001478","101","01",-1,12,914
"328","TRINITY SCHOOL","A0300031","73","01",-1,12,10
"329","TUSCALOOSA ACADEMY","00001558","125","01",-1,12,416
"330","TUSCALOOSA CHRISTIAN SCHOOL","01642488","125","01",-1,12,316
"331","UAB ENGEL THERAPEUTIC SCHOOL A","A0900084","73","01",-1,12,18
"332","UMS-WRIGHT PREPARATORY SCHOOL","00001569","97","01",-1,12,1265
"333","UNION CHAPEL CHRISTIAN ACADEMY","A0100405","89","01",0,7,157
"334","UNIVERSITY PRESCHOOL LEARNING ","A9703780","89","01",-1,0,71
"335","UPPERROOM DELIVERANCE CENTER","A1170214","125","01",-1,4,36
"336","VALLEY FELLOWSHIP CHRISTIAN AC","AA890014","89","01",-1,12,187
"337","VERITAS ACADEMY","A0500023","113","01",0,7,51
"338","VICTORY BAPTIST SCHOOL","00002518","51","01",0,12,225
"339","VICTORY CHRISTIAN ACADEMY","A0100162","127","01",-1,11,31
"340","VICTORY CHRISTIAN ACADEMY","A9500035","3","01",-1,7,15
"341","VICTORY CHRISTIAN SCHOOL","AA890012","115","01",-1,12,437
"342","VICTORY CHRISTIAN SCHOOL","A0500034","9","01",-1,10,22
"343","VINEMONT CHRISTIAN ACADEMY","01608833","43","01",0,12,27
"344","WARRIOR ACADEMY","00002529","63","01",-1,6,14
"345","WEBSTER CHRISTIAN SCHOOL","A9900081","73","01",0,7,98
"346","WESLEYAN CHRISTIAN ACADEMY","00002799","97","01",1,12,92
"347","WEST ALABAMA CHRISTIAN SCHOOL","A1100019","91","01",-1,6,46
"348","WEST MOBILE BAPTIST CHURCH","A0100423","97","01",-1,0,153
"349","WESTBROOK CHRISTIAN SCHOOL","A0700031","55","01",-1,12,578
"350","WESTGATE CHRISTIAN SCHOOL","A9500037","69","01",-1,6,120
"351","WESTMINSTER CHRISTIAN ACADEMY","00001412","89","01",0,12,708
"352","WESTMINSTER SCHOOL AT OAK MOUN","A0770139","117","01",0,12,413
"353","WESTWOOD BAPT WEEKDAY EDU MINI","A0770204","117","01",-1,0,139
"354","WHITESBURG CHRISTIAN ACADEMY","A0509004","89","01",0,12,360
"355","WHITFIELD KINDERGARTEN","A0100426","101","01",0,0,6
"356","WILCOX ACADEMY","01925943","131","01",-1,12,289
"357","WILLOWBROOK BAPTIST KINDERGART","A0100428","89","01",-1,0,182
"358","WINEWOOD CHRISTIAN SCHOOL","A0500036","73","01",-1,12,7
"359","WIREGRASS CHRISTIAN ACADEMY","A9700047","31","01",-1,6,132
"360","WORD ALIVE ACADEMY","A1170219","15","01",-1,8,141
"361","WORD OF LIFE INSTITUTE CHRISTI","A0100433","97","01",0,11,13
